"Path","Lines","DecompilerHits","RageUiCall2","FlowLabels","Score"
"cmg\prod\client\developer\cl_devpreviews.lua","11420","13735","7","0","13770"
"cmg\prod\client\misc\cl_cardev.lua","7222","10647","58","40","11737"
"cmg\prod\client\vehicles\cl_garages.lua","12814","7380","149","79","9705"
"cmg\prod\client\misc\cl_emotes.lua","6648","7579","75","61","9174"
"cmg\prod\client\misc\cl_cinematics.lua","5850","7321","115","16","8216"
"cmg\prod\client\jobs\cl_mechanic.lua","8312","2867","0","191","6687"
"cmg\prod\client\home\cl_home.lua","4914","4747","190","26","6217"
"cmg\prod\client\lfb\cl_lfb.lua","7361","5620","72","9","6160"
"cmg\prod\client\vehicles\cl_lscustoms.lua","5812","5065","25","41","6010"
"cmg\prod\client\crime\cl_gang.lua","12339","2979","0","140","5779"
"cmg\prod\client\util\client\cl_events.lua","5231","4601","64","12","5161"
"cmg\prod\client\drugs\cl_acid.lua","4123","4855","0","6","4975"
"cmg\prod\client\misc\cl_vending.lua","5618","4833","0","0","4833"
"cmg\prod\client\hmp\cl_prison.lua","5826","3647","31","40","4602"
"cmg\prod\client\misc\cl_chairs.lua","5007","2888","0","71","4308"
"cmg\prod\client\jobs\cl_pilotjob.lua","5207","3774","12","20","4234"
"cmg\prod\client\police\cl_police.lua","4743","3286","40","15","3786"
"cmg\prod\client\hmp\cl_prisonDoors.lua","2327","2326","9","69","3751"
"cmg\prod\client\misc\cl_dvsa.lua","4950","3212","21","4","3397"
"cmg\prod\client\misc\cl_voltlabHacking.lua","2636","3325","0","3","3385"
"cmg\prod\client\weapons\cl_gunstore.lua","2472","2942","56","8","3382"
"cmg\prod\client\crime\cl_bankheists.lua","4916","2559","36","30","3339"
"cmg\prod\client\weapons\cl_arena.lua","7377","2154","0","59","3334"
"cmg\prod\client\ui\cl_radialmenu.lua","4893","2071","0","57","3211"
"cmg\prod\client\weapons\cl_aimtraining.lua","2568","2604","31","16","3079"
"cmg\prod\client\vehicles\cl_els.lua","4452","2467","0","30","3067"
"cmg\prod\client\crime\cl_gangui.lua","3783","1803","0","63","3063"
"cmg\prod\client\staff\cl_customraces.lua","2148","2717","36","6","3017"
"cmg\prod\client\business\cl_business.lua","2622","2288","64","16","2928"
"cmg\prod\client\police\cl_policedog.lua","2358","2129","128","6","2889"
"cmg\prod\client\police\cl_scenemenu.lua","3050","2304","54","14","2854"
"cmg\prod\client\hud\cl_hud.lua","3732","2396","0","18","2756"
"cmg\prod\client\staff\cl_rpzones.lua","2080","2335","32","12","2735"
"cmg\prod\client\crime\cl_storerob.lua","3812","2417","0","15","2717"
"cmg\prod\client\jobs\cl_aa.lua","2305","2043","0","28","2603"
"cmg\prod\client\nhs\cl_nhs.lua","2307","1841","22","32","2591"
"cmg\prod\client\events\cl_battleroyale.lua","2519","2314","0","10","2514"
"cmg\prod\client\casino\cl_casinojackpot.lua","2262","2251","26","0","2381"
"cmg\prod\client\misc\cl_vkint.lua","2414","2274","14","0","2344"
"cmg\prod\client\jobs\cl_vigilante.lua","2537","1864","11","20","2319"
"cmg\prod\client\developer\cl_devmisc.lua","2838","1861","0","18","2221"
"cmg\prod\client\events\cl_jewelryheist.lua","2568","2194","0","0","2194"
"cmg\prod\client\crime\cl_redzones.lua","1744","1646","0","24","2126"
"cmg\prod\client\business\cl_cleaner.lua","1808","1961","0","8","2121"
"cmg\prod\client\misc\cl_weaponsonback.lua","2101","1893","0","10","2093"
"cmg\prod\client\jobs\cl_trucking.lua","2146","1932","10","4","2062"
"cmg\prod\client\faction\cl_radios.lua","2430","1692","27","8","1987"
"cmg\prod\client\misc\cl_animations.lua","11528","1804","0","7","1944"
"cmg\prod\client\casino\cl_casinochips.lua","1062","1474","76","2","1894"
"cmg\prod\client\hmp\cl_prisonToiletEscapeMinigame.lua","2114","1323","0","28","1883"
"cmg\prod\client\lfb\cl_ladders.lua","1992","1680","0","6","1800"
"cmg\prod\client\police\cl_heli.lua","1536","1697","0","4","1777"
"cmg\prod\client\business\cl_billboards.lua","1896","1546","38","2","1776"
"cmg\prod\client\jobs\cl_scubadiving.lua","1525","1553","19","4","1728"
"cmg\prod\client\casino\cl_casinoslots.lua","2077","1385","17","12","1710"
"cmg\prod\client\casino\cl_casinobarseating.lua","1514","1655","0","2","1695"
"cmg\prod\client\crime\cl_purge.lua","2147","1385","21","10","1690"
"cmg\prod\client\misc\cl_tattoos.lua","1191","1469","28","4","1689"
"cmg\prod\client\vehicles\cl_licenseplate.lua","1066","1434","49","0","1679"
"cmg\prod\client\events\cl_organheist.lua","2376","1296","0","18","1656"
"cmg\prod\client\misc\cl_statistics.lua","1493","1402","0","12","1642"
"cmg\prod\client\police\cl_impound.lua","1821","1299","50","4","1629"
"cmg\prod\client\jobs\cl_g4s.lua","3314","1367","26","6","1617"
"cmg\prod\client\business\cl_waiter.lua","1199","1106","14","20","1576"
"cmg\prod\client\lib\utils.lua","1026","1313","0","11","1533"
"cmg\prod\client\nhs\cl_stretcher.lua","1880","1350","0","8","1510"
"cmg\prod\client\jobs\cl_farming.lua","1863","1378","0","6","1498"
"cmg\prod\client\developer\cl_devtestbeds.lua","1050","1412","0","4","1492"
"cmg\prod\client\casino\cl_casinocoinflip.lua","1563","1369","23","0","1484"
"cmg\prod\client\staff\cl_spectate.lua","1562","1349","0","6","1469"
"cmg\prod\client\police\cl_copblips.lua","1108","1186","0","14","1466"
"cmg\prod\client\drugs\cl_turf.lua","2254","1169","0","12","1409"
"cmg\prod\client\events\cl_triathlon.lua","1379","1405","0","0","1405"
"cmg\prod\client\misc\cl_crosshair.lua","1121","1200","20","4","1380"
"cmg\prod\client\events\cl_passthebomb.lua","1949","1171","0","10","1371"
"cmg\prod\client\misc\cl_crouch.lua","1685","1087","0","14","1367"
"cmg\prod\client\business\cl_delivery.lua","1011","1289","15","0","1364"
"cmg\prod\client\jobs\cl_taco.lua","1569","1103","48","0","1343"
"cmg\prod\client\drugs\cl_trader.lua","1470","1178","25","0","1303"
"cmg\prod\client\jobs\cl_sharedjobs.lua","1289","976","0","16","1296"
"cmg\prod\client\vehicles\cl_stancer.lua","1071","976","11","12","1271"
"cmg\prod\client\vehicles\cl_fuel.lua","1364","1120","0","7","1260"
"cmg\prod\client\crime\cl_graffiti.lua","1822","1122","9","4","1247"
"cmg\prod\client\vehicles\cl_simeons.lua","1686","1046","13","6","1231"
"cmg\prod\client\misc\cl_fingerprintHacking.lua","5532","1224","0","0","1224"
"cmg\prod\client\misc\cl_datacrack.lua","1119","1097","0","6","1217"
"cmg\prod\client\events\cl_chess.lua","1237","1168","0","2","1208"
"cmg\prod\client\nhs\cl_healthservice.lua","1222","756","0","21","1176"
"cmg\prod\client\misc\cl_hacking_phone.lua","940","1121","0","2","1161"
"cmg\prod\client\nhs\cl_casts.lua","1260","840","0","16","1160"
"cmg\prod\client\developer\cl_devmenu.lua","889","925","10","8","1135"
"cmg\prod\client\crime\cl_gangdoors.lua","1204","954","11","6","1129"
"cmg\prod\client\police\cl_gunmods.lua","762","925","38","0","1115"
"cmg\prod\client\vehicles\cl_vehicle_crush_trade.lua","683","951","24","2","1111"
"cmg\prod\client\events\cl_golf.lua","2385","961","0","7","1101"
"cmg\prod\client\crime\cl_bankrob.lua","1883","854","0","12","1094"
"cmg\prod\client\util\shared\oop.lua","1068","1033","0","2","1073"
"cmg\prod\client\police\cl_borderforce.lua","1376","991","0","4","1071"
"cmg\prod\client\events\cl_weeklychallenge.lua","682","270","0","40","1070"
"cmg\prod\client\ui\cl_idsabovehead.lua","1178","845","0","11","1065"
"cmg\prod\client\home\cl_homecctv.lua","998","896","28","0","1036"
"cmg\prod\client\misc\cl_nightclub.lua","1029","1026","0","0","1026"
"cmg\prod\client\ui\cl_skin.lua","690","857","0","6","977"
"cmg\prod\client\police\cl_anpr.lua","996","977","0","0","977"
"cmg\prod\client\nhs\cl_bleeding.lua","952","494","0","24","974"
"cmg\prod\client\misc\cl_market.lua","778","870","20","0","970"
"cmg\prod\client\weapons\cl_weapons.lua","1218","875","0","4","955"
"cmg\prod\client\misc\cl_cratedrop.lua","1435","898","0","2","938"
"cmg\prod\client\misc\cl_benchmark.lua","1136","932","0","0","932"
"cmg\prod\client\events\cl_leaderboard.lua","894","890","0","2","930"
"cmg\prod\client\police\cl_policeshields.lua","800","841","9","2","926"
"cmg\prod\client\police\cl_jaildoors.lua","861","636","0","14","916"
"cmg\prod\client\events\cl_dynamicraces.lua","2075","827","0","4","907"
"cmg\prod\client\misc\cl_gokart.lua","1403","898","0","0","898"
"cmg\prod\client\jobs\cl_royalmail.lua","823","689","17","6","894"
"cmg\prod\client\items\cl_items.lua","1748","884","0","0","884"
"cmg\prod\client\casino\cl_casinowheel.lua","1021","772","19","0","867"
"cmg\prod\client\crime\cl_clothingrob.lua","860","576","0","14","856"
"cmg\prod\client\util\shared\shared.lua","1503","774","0","4","854"
"cmg\prod\client\events\cl_dogfighting.lua","2138","611","0","12","851"
"cmg\prod\client\misc\cl_loginrewards.lua","879","558","22","8","828"
"cmg\prod\client\police\cl_pdelevator.lua","650","740","12","0","800"
"cmg\prod\client\casino\cl_casinomembership.lua","573","683","21","0","788"
"cmg\prod\client\crime\cl_rpgangs.lua","653","754","0","0","754"
"cmg\prod\client\util\client\cl_map.lua","1589","401","0","17","741"
"cmg\prod\client\ui\cl_progress.lua","1064","735","0","0","735"
"cmg\prod\client\misc\cl_quests.lua","913","690","0","2","730"
"cmg\prod\client\items\cl_fireworkboxes.lua","1234","728","0","0","728"
"cmg\prod\client\items\cl_news.lua","994","728","0","0","728"
"cmg\prod\client\misc\cl_pushcar.lua","637","671","0","2","711"
"cmg\prod\client\weapons\cl_blackmarket.lua","622","526","28","2","706"
"cmg\prod\client\items\cl_binoculars.lua","732","697","0","0","697"
"cmg\prod\client\events\cl_vehicleselection.lua","909","532","14","4","682"
"cmg\prod\client\home\cl_doorbell.lua","594","520","15","4","675"
"cmg\prod\client\crime\cl_ranks.lua","834","465","9","8","670"
"cmg\prod\client\police\cl_cuffs.lua","1366","663","0","0","663"
"cmg\prod\client\police\cl_speedgun.lua","601","580","0","4","660"
"cmg\prod\client\nhs\cl_crutches.lua","724","437","0","11","657"
"cmg\prod\client\events\cl_spellingbee.lua","1025","617","0","2","657"
"cmg\prod\client\faction\cl_loadouts.lua","576","521","19","2","656"
"cmg\prod\client\misc\cl_backpacks.lua","790","604","9","0","649"
"cmg\prod\client\misc\cl_takehostage.lua","898","613","0","0","613"
"cmg\prod\client\misc\cl_meleecombat.lua","921","571","0","2","611"
"cmg\prod\client\misc\cl_hideintrunk.lua","802","490","0","6","610"
"cmg\prod\client\police\cl_armour.lua","822","489","0","6","609"
"cmg\prod\client\events\cl_manhunt.lua","1145","526","0","4","606"
"cmg\prod\client\util\client\cl_util.lua","2080","475","0","6","595"
"cmg\prod\client\police\cl_taser.lua","1058","431","0","8","591"
"cmg\prod\client\casino\cl_casino.lua","609","429","15","4","584"
"cmg\prod\client\police\cl_panicbutton.lua","670","412","0","8","572"
"cmg\prod\client\misc\cl_thor.lua","958","572","0","0","572"
"cmg\prod\client\drugs\cl_grinding.lua","997","409","0","8","569"
"cmg\prod\client\police\cl_drone.lua","1540","482","0","4","562"
"cmg\prod\client\events\cl_spectator.lua","1168","498","0","2","538"
"cmg\prod\client\items\cl_food.lua","701","326","0","10","526"
"cmg\prod\client\misc\cl_unstuck.lua","750","409","0","5","509"
"cmg\prod\client\ui\cl_ui.lua","961","419","0","4","499"
"cmg\prod\client\misc\cl_stripclothes.lua","548","496","0","0","496"
"cmg\prod\client\util\client\cl_rockstarmaps.lua","856","453","0","2","493"
"cmg\prod\client\misc\cl_cayoperico_loader.lua","535","487","0","0","487"
"cmg\prod\client\hmp\cl_prisonToiletEscape.lua","614","424","0","2","464"
"cmg\prod\client\police\cl_robot.lua","908","297","0","8","457"
"cmg\prod\client\ui\cl_pausemenu.lua","773","407","0","2","447"
"cmg\prod\client\misc\cl_trade.lua","677","299","0","4","379"
"cmg\prod\client\hud\cl_seatbelt.lua","751","335","0","2","375"
"cmg\prod\client\police\cl_tackle.lua","539","274","0","4","354"
"cmg\prod\client\misc\cl_nitro.lua","680","297","0","0","297"
"cmg\prod\client\events\cl_gungame.lua","682","216","0","0","216"
"cmg\prod\client\events\cl_ffa.lua","767","160","0","2","200"
"cmg\prod\client\misc\cl_switchgun.lua","853","189","0","0","189"
"cmg\prod\client\crime\cl_dirtycash.lua","684","130","0","0","130"
"cmg\prod\client\staff\cl_adminmenu.lua","4074","9","0","0","9"
"cmg\prod\client\core\cl_settings.lua","2531","6","0","0","6"
"cmg\prod\client\jobs\trapper\cl_trapper.lua","3817","6","0","0","6"
"cmg\prod\client\jobs\cl_garbage.lua","4523","6","0","0","6"
"cmg\prod\client\core\cl_inventory.lua","3531","6","0","0","6"
