"File","Luac51Ok","UsesFiveMOrLua54Syntax","Error"
"cmg\fxmanifest.lua","True","False",""
"cmg\prod\cfg\atms.lua","True","False",""
"cmg\prod\cfg\blips_markers.lua","True","False",""
"cmg\prod\cfg\cfg_adminmenu.lua","True","True",""
"cmg\prod\cfg\cfg_aimtraining.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_aimtraining.lua:70: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_anticheat.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_anticheat.lua:42: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_arena.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_arena.lua:261: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_attachments.lua","True","False",""
"cmg\prod\cfg\cfg_backpacks.lua","True","False",""
"cmg\prod\cfg\cfg_bankrob.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_bankrob.lua:70: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_billboards.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_billboards.lua:214: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_bloodmoney.lua","True","False",""
"cmg\prod\cfg\cfg_business.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_business.lua:93: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_casinoslots.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_casinoslots.lua:1404: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_casts.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_casts.lua:42: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_cctv.lua","True","False",""
"cmg\prod\cfg\cfg_chairs.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_chairs.lua:389: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_chatminievents.lua","True","False",""
"cmg\prod\cfg\cfg_chess.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_chess.lua:42: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_clothing.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_clothing.lua:43: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_clothingrob.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_clothingrob.lua:43: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_crosshair.lua","True","False",""
"cmg\prod\cfg\cfg_customraces.lua","True","False",""
"cmg\prod\cfg\cfg_dumpster.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_dumpster.lua:83: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_dvsa.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_dvsa.lua:62: unexpected symbol near '`'"
"cmg\prod\cfg\cfg_emotes.lua","True","True",""
"cmg\prod\cfg\cfg_factiongroups.lua","True","False",""
"cmg\prod\cfg\cfg_farming.lua","False","True","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\cfg\cfg_farming.lua:107: unexpected symbol near '`'"
