"File","Luac51Ok","UsesFiveMOrLua54Syntax","Error"
"cmg\prod\client\developer\cl_devmenu.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\developer\cl_devmenu.lua:123: '=' expected near 'flow_label_24'"
"cmg\prod\client\events\cl_spellingbee.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\events\cl_spellingbee.lua:108: '=' expected near 'flow_label_8'"
"cmg\prod\client\events\cl_weeklychallenge.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\events\cl_weeklychallenge.lua:264: '=' expected near 'flow_label_10'"
"cmg\prod\client\hmp\cl_prisonToiletEscapeMinigame.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\hmp\cl_prisonToiletEscapeMinigame.lua:87: '=' expected near 'flow_label_10'"
"cmg\prod\client\hud\cl_seatbelt.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\hud\cl_seatbelt.lua:364: '=' expected near 'flow_label_54'"
"cmg\prod\client\items\cl_food.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\items\cl_food.lua:177: '=' expected near 'flow_label_15'"
"cmg\prod\client\lib\utils.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\lib\utils.lua:175: unexpected symbol near '>'"
"cmg\prod\client\misc\cl_crouch.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\misc\cl_crouch.lua:486: '=' expected near 'flow_label_38'"
"cmg\prod\client\misc\cl_fingerprintHacking.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\misc\cl_fingerprintHacking.lua:17680: '=' expected near 'flow_label_10'"
"cmg\prod\client\misc\cl_voltlabHacking.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\misc\cl_voltlabHacking.lua:2372: '=' expected near 'flow_label_367'"
"cmg\prod\client\nhs\cl_crutches.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\nhs\cl_crutches.lua:82: '=' expected near 'flow_label_10'"
"cmg\prod\client\police\cl_copblips.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\police\cl_copblips.lua:499: '=' expected near 'flow_label_12'"
"cmg\prod\client\police\cl_robot.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\police\cl_robot.lua:409: '=' expected near 'flow_label_7'"
"cmg\prod\client\rageui\menu\elements\ItemsBadge.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\rageui\menu\elements\ItemsBadge.lua:117: '=' expected near 'flow_label_20'"
"cmg\prod\client\rageui\menu\items\UISliderHeritage.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\rageui\menu\items\UISliderHeritage.lua:161: '=' expected near 'flow_label_49'"
"cmg\prod\client\rageui\menu\panels\UIColourPanel.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\rageui\menu\panels\UIColourPanel.lua:111: '=' expected near 'flow_label_530'"
"cmg\prod\client\rageui\menu\panels\UIGridPanel.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\rageui\menu\panels\UIGridPanel.lua:116: '=' expected near 'flow_label_650'"
"cmg\prod\client\rageui\menu\panels\UIGridPanelHorizontal.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\rageui\menu\panels\UIGridPanelHorizontal.lua:106: '=' expected near 'flow_label_429'"
"cmg\prod\client\rageui\menu\panels\UIGridPanelVertical.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\rageui\menu\panels\UIGridPanelVertical.lua:106: '=' expected near 'flow_label_497'"
"cmg\prod\client\rageui\menu\panels\UIStatisticsPanel.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\rageui\menu\panels\UIStatisticsPanel.lua:124: '=' expected near 'flow_label_262'"
"cmg\prod\client\ui\cl_ui.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\ui\cl_ui.lua:241: '=' expected near 'flow_label_12'"
"cmg\prod\client\util\client\cl_rockstarmaps.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\util\client\cl_rockstarmaps.lua:405: '=' expected near 'flow_label_269'"
"cmg\prod\client\util\shared\oop.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\util\shared\oop.lua:901: '=' expected near 'flow_label_64'"
"cmg\prod\client\vehicles\cl_stancer.lua","False","False","C:\Program Files (x86)\Lua\5.1\luac.exe: cmg\prod\client\vehicles\cl_stancer.lua:261: '=' expected near 'flow_label_29'"
